lang,version,book_name,book_abbr,chapter_num,verse_num,verse_text
eng,ASV,Song of Solomon,SNG,4,3,"Thy lips are like a thread of scarlet, And thy mouth is comely. Thy temples are like a piece of a pomegranate Behind thy veil. "
eng,ASV,Song of Solomon,SNG,4,4,"Thy neck is like the tower of David Builded for an armory, Whereon there hang a thousand bucklers, All the shields of the mighty men. "
eng,ASV,Song of Solomon,SNG,4,5,"Thy two breasts are like two fawns That are twins of a roe, Which feed among the lilies. "
eng,ASV,Song of Solomon,SNG,4,6,"Until the day be cool, and the shadows flee away, I will get me to the mountain of myrrh, And to the hill of frankincense. "
eng,ASV,Song of Solomon,SNG,4,7,"Thou art all fair, my love; And there is no spot in thee. "
eng,ASV,Song of Solomon,SNG,4,8,"Come with me from Lebanon, my bride, With me from Lebanon: Look from the top of Amana, From the top of Senir and Hermon, From the lions’ dens, From the mountains of the leopards. "
eng,ASV,Song of Solomon,SNG,4,9,"Thou hast ravished my heart, my sister, my bride; Thou hast ravished my heart with one of thine eyes, With one chain of thy neck. "
eng,ASV,Song of Solomon,SNG,4,10,"How fair is thy love, my sister, my bride! How much better is thy love than wine! And the fragrance of thine oils than all manner of spices! "
eng,ASV,Song of Solomon,SNG,4,11,"Thy lips, O my bride, drop as the honeycomb: Honey and milk are under thy tongue; And the smell of thy garments is like the smell of Lebanon. "
eng,ASV,Song of Solomon,SNG,4,12,"A garden shut up is my sister, my bride; A spring shut up, a fountain sealed. "
eng,ASV,Song of Solomon,SNG,4,13,"Thy shoots are an orchard of pomegranates, with precious fruits; Henna with spikenard plants, "
eng,ASV,Song of Solomon,SNG,4,14,"Spikenard and saffron, Calamus and cinnamon, with all trees of frankincense; Myrrh and aloes, with all the chief spices. "
eng,ASV,Song of Solomon,SNG,4,15,"Thou art a fountain of gardens, A well of living waters, And flowing streams from Lebanon. "
eng,ASV,Song of Solomon,SNG,4,16,"Awake, O north wind; and come, thou south; Blow upon my garden, that the spices thereof may flow out. Let my beloved come into his garden, And eat his precious fruits."
eng,ASV,Song of Solomon,SNG,5,1,"I am come into my garden, my sister, my bride: I have gathered my myrrh with my spice; I have eaten my honeycomb with my honey; I have drunk my wine with my milk. Eat, O friends; Drink, yea, drink abundantly, O beloved. "
eng,ASV,Song of Solomon,SNG,5,2,"I was asleep, but my heart waked: It is the voice of my beloved that knocketh, saying, Open to me, my sister, my love, my dove, my undefiled; For my head is filled with dew, My locks with the drops of the night. "
eng,ASV,Song of Solomon,SNG,5,3,I have put off my garment; how shall I put it on? I have washed my feet; how shall I defile them? 
eng,ASV,Song of Solomon,SNG,5,4,"My beloved put in his hand by the hole of the door, And my heart was moved for him. "
eng,ASV,Song of Solomon,SNG,5,5,"I rose up to open to my beloved; And my hands dropped with myrrh, And my fingers with liquid myrrh, Upon the handles of the bolt. "
eng,ASV,Song of Solomon,SNG,5,6,"I opened to my beloved; But my beloved had withdrawn himself, and was gone. My soul had failed me when he spake: I sought him, but I could not find him; I called him, but he gave me no answer. "
eng,ASV,Song of Solomon,SNG,5,7,"The watchmen that go about the city found me, They smote me, they wounded me; The keepers of the walls took away my mantle from me. "
eng,ASV,Song of Solomon,SNG,5,8,"I adjure you, O daughters of Jerusalem, If ye find my beloved, That ye tell him, that I am sick from love. "
eng,ASV,Song of Solomon,SNG,5,9,"What is thy beloved more than another beloved, O thou fairest among women? What is thy beloved more than another beloved, That thou dost so adjure us? "
eng,ASV,Song of Solomon,SNG,5,10,"My beloved is white and ruddy, The chiefest among ten thousand. "
