lang,version,book_name,book_abbr,chapter_num,verse_num,verse_text
eng,ASV,2 Corinthians,2CO,3,7,"But if the ministration of death, written, and engraven on stones, came with glory, so that the children of Israel could not look stedfastly upon the face of Moses for the glory of his face; which glory was passing away:"
eng,ASV,2 Corinthians,2CO,3,8,how shall not rather the ministration of the spirit be with glory?
eng,ASV,2 Corinthians,2CO,3,9,"For if the ministration of condemnation hath glory, much rather doth the ministration of righteousness exceed in glory."
eng,ASV,2 Corinthians,2CO,3,10,"For verily that which hath been made glorious hath not been made glorious in this respect, by reason of the glory that surpasseth."
eng,ASV,2 Corinthians,2CO,3,11,"For if that which passeth away was with glory, much more that which remaineth is in glory. "
eng,ASV,2 Corinthians,2CO,3,12,"Having therefore such a hope, we use great boldness of speech,"
eng,ASV,2 Corinthians,2CO,3,13,"and are not as Moses, who put a veil upon his face, that the children of Israel should not look stedfastly on the end of that which was passing away:"
eng,ASV,2 Corinthians,2CO,3,14,"but their minds were hardened: for until this very day at the reading of the old covenant the same veil remaineth, it not being revealed to them that it is done away in Christ."
eng,ASV,2 Corinthians,2CO,3,15,"But unto this day, whensoever Moses is read, a veil lieth upon their heart."
eng,ASV,2 Corinthians,2CO,3,16,"But whensoever it shall turn to the Lord, the veil is taken away."
eng,ASV,2 Corinthians,2CO,3,17,"Now the Lord is the Spirit: and where the Spirit of the Lord is, there is liberty."
eng,ASV,2 Corinthians,2CO,3,18,"But we all, with unveiled face beholding as in a mirror the glory of the Lord, are transformed into the same image from glory to glory, even as from the Lord the Spirit."
eng,ASV,2 Corinthians,2CO,4,1,"Therefore seeing we have this ministry, even as we obtained mercy, we faint not:"
eng,ASV,2 Corinthians,2CO,4,2,"but we have renounced the hidden things of shame, not walking in craftiness, nor handling the word of God deceitfully; but by the manifestation of the truth commending ourselves to every man’s conscience in the sight of God."
eng,ASV,2 Corinthians,2CO,4,3,"And even if our gospel is veiled, it is veiled in them that perish:"
eng,ASV,2 Corinthians,2CO,4,4,"in whom the god of this world hath blinded the minds of the unbelieving, that the light of the gospel of the glory of Christ, who is the image of God, should not dawn upon them."
eng,ASV,2 Corinthians,2CO,4,5,"For we preach not ourselves, but Christ Jesus as Lord, and ourselves as your servants for Jesus’ sake."
eng,ASV,2 Corinthians,2CO,4,6,"Seeing it is God, that said, Light shall shine out of darkness, who shined in our hearts, to give the light of the knowledge of the glory of God in the face of Jesus Christ. "
eng,ASV,2 Corinthians,2CO,4,7,"But we have this treasure in earthen vessels, that the exceeding greatness of the power may be of God, and not from ourselves;"
eng,ASV,2 Corinthians,2CO,4,8,"we are pressed on every side, yet not straitened; perplexed, yet not unto despair;"
eng,ASV,2 Corinthians,2CO,4,9,"pursued, yet not forsaken; smitten down, yet not destroyed;"
eng,ASV,2 Corinthians,2CO,4,10,"always bearing about in the body the dying of Jesus, that the life also of Jesus may be manifested in our body."
eng,ASV,2 Corinthians,2CO,4,11,"For we who live are always delivered unto death for Jesus’ sake, that the life also of Jesus may be manifested in our mortal flesh."
eng,ASV,2 Corinthians,2CO,4,12,"So then death worketh in us, but life in you."
eng,ASV,2 Corinthians,2CO,4,13,"But having the same spirit of faith, according to that which is written, I believed, and therefore did I speak; we also believe, and therefore also we speak;"
eng,ASV,2 Corinthians,2CO,4,14,"knowing that he that raised up the Lord Jesus shall raise up us also with Jesus, and shall present us with you."
eng,ASV,2 Corinthians,2CO,4,15,"For all things are for your sakes, that the grace, being multiplied through the many, may cause the thanksgiving to abound unto the glory of God. "
eng,ASV,2 Corinthians,2CO,4,16,"Wherefore we faint not; but though our outward man is decaying, yet our inward man is renewed day by day."
eng,ASV,2 Corinthians,2CO,4,17,"For our light affliction, which is for the moment, worketh for us more and more exceedingly an eternal weight of glory;"
eng,ASV,2 Corinthians,2CO,4,18,"while we look not at the things which are seen, but at the things which are not seen: for the things which are seen are temporal; but the things which are not seen are eternal."
eng,ASV,2 Corinthians,2CO,5,1,"For we know that if the earthly house of our tabernacle be dissolved, we have a building from God, a house not made with hands, eternal, in the heavens."
