lang,version,book_name,book_abbr,chapter_num,verse_num,verse_text
eng,ASV,1 Thessalonians,1TH,4,6,"that no man transgress, and wrong his brother in the matter: because the Lord is an avenger in all these things, as also we forewarned you and testified."
eng,ASV,1 Thessalonians,1TH,4,7,"For God called us not for uncleanness, but in sanctification."
eng,ASV,1 Thessalonians,1TH,4,8,"Therefore he that rejecteth, rejecteth not man, but God, who giveth his Holy Spirit unto you. "
eng,ASV,1 Thessalonians,1TH,4,9,But concerning love of the brethren ye have no need that one write unto you: for ye yourselves are taught of God to love one another;
eng,ASV,1 Thessalonians,1TH,4,10,"for indeed ye do it toward all the brethren that are in all Macedonia. But we exhort you, brethren, that ye abound more and more;"
eng,ASV,1 Thessalonians,1TH,4,11,"and that ye study to be quiet, and to do your own business, and to work with your hands, even as we charged you;"
eng,ASV,1 Thessalonians,1TH,4,12,"that ye may walk becomingly toward them that are without, and may have need of nothing. "
eng,ASV,1 Thessalonians,1TH,4,13,"But we would not have you ignorant, brethren, concerning them that fall asleep; that ye sorrow not, even as the rest, who have no hope."
eng,ASV,1 Thessalonians,1TH,4,14,"For if we believe that Jesus died and rose again, even so them also that are fallen asleep in Jesus will God bring with him."
eng,ASV,1 Thessalonians,1TH,4,15,"For this we say unto you by the word of the Lord, that we that are alive, that are left unto the coming of the Lord, shall in no wise precede them that are fallen asleep."
eng,ASV,1 Thessalonians,1TH,4,16,"For the Lord himself shall descend from heaven, with a shout, with the voice of the archangel, and with the trump of God: and the dead in Christ shall rise first;"
eng,ASV,1 Thessalonians,1TH,4,17,"then we that are alive, that are left, shall together with them be caught up in the clouds, to meet the Lord in the air: and so shall we ever be with the Lord."
eng,ASV,1 Thessalonians,1TH,4,18,Wherefore comfort one another with these words.
eng,ASV,1 Thessalonians,1TH,5,1,"But concerning the times and the seasons, brethren, ye have no need that aught be written unto you."
eng,ASV,1 Thessalonians,1TH,5,2,For yourselves know perfectly that the day of the Lord so cometh as a thief in the night.
eng,ASV,1 Thessalonians,1TH,5,3,"When they are saying, Peace and safety, then sudden destruction cometh upon them, as travail upon a woman with child; and they shall in no wise escape."
eng,ASV,1 Thessalonians,1TH,5,4,"But ye, brethren, are not in darkness, that that day should overtake you as a thief:"
eng,ASV,1 Thessalonians,1TH,5,5,"for ye are all sons of light, and sons of the day: we are not of the night, nor of darkness;"
eng,ASV,1 Thessalonians,1TH,5,6,"so then let us not sleep, as do the rest, but let us watch and be sober."
eng,ASV,1 Thessalonians,1TH,5,7,For they that sleep sleep in the night; and they that are drunken are drunken in the night.
eng,ASV,1 Thessalonians,1TH,5,8,"But let us, since we are of the day, be sober, putting on the breastplate of faith and love; and for a helmet, the hope of salvation."
eng,ASV,1 Thessalonians,1TH,5,9,"For God appointed us not unto wrath, but unto the obtaining of salvation through our Lord Jesus Christ,"
eng,ASV,1 Thessalonians,1TH,5,10,"who died for us, that, whether we wake or sleep, we should live together with him."
eng,ASV,1 Thessalonians,1TH,5,11,"Wherefore exhort one another, and build each other up, even as also ye do. "
eng,ASV,1 Thessalonians,1TH,5,12,"But we beseech you, brethren, to know them that labor among you, and are over you in the Lord, and admonish you;"
eng,ASV,1 Thessalonians,1TH,5,13,and to esteem them exceeding highly in love for their work’s sake. Be at peace among yourselves.
eng,ASV,1 Thessalonians,1TH,5,14,"And we exhort you, brethren, admonish the disorderly, encourage the fainthearted, support the weak, be longsuffering toward all."
eng,ASV,1 Thessalonians,1TH,5,15,"See that none render unto any one evil for evil; but always follow after that which is good, one toward another, and toward all."
eng,ASV,1 Thessalonians,1TH,5,16,Rejoice always;
eng,ASV,1 Thessalonians,1TH,5,17,pray without ceasing;
eng,ASV,1 Thessalonians,1TH,5,18,in everything give thanks: for this is the will of God in Christ Jesus to you-ward.
eng,ASV,1 Thessalonians,1TH,5,19,Quench not the Spirit;
eng,ASV,1 Thessalonians,1TH,5,20,despise not prophesyings;
eng,ASV,1 Thessalonians,1TH,5,21,prove all things; hold fast that which is good;
eng,ASV,1 Thessalonians,1TH,5,22,abstain from every form of evil. 
eng,ASV,1 Thessalonians,1TH,5,23,"And the God of peace himself sanctify you wholly; and may your spirit and soul and body be preserved entire, without blame at the coming of our Lord Jesus Christ."
eng,ASV,1 Thessalonians,1TH,5,24,"Faithful is he that calleth you, who will also do it. "
eng,ASV,1 Thessalonians,1TH,5,25,"Brethren, pray for us. "
eng,ASV,1 Thessalonians,1TH,5,26,Salute all the brethren with a holy kiss.
eng,ASV,1 Thessalonians,1TH,5,27,I adjure you by the Lord that this epistle be read unto all the brethren. 
eng,ASV,1 Thessalonians,1TH,5,28,The grace of our Lord Jesus Christ be with you.
